id;author.userName;text;url;keyword;category;createdAt
1753343668000337965;zei_squirrel;imagine you're from Gaza now living in the US as you watch them fund and arm the Israeli genocide that killed your own relatives, and you're so desperate to please the master for some crumbs you repeat atrocity propaganda Israeli media itself debunked. I would rather end myself https://t.co/VdPUSd42DT;https://x.com/zei_squirrel/status/1753343668000337965;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Fri Feb 02 09:04:40 +0000 2024
1750819813776081091;yilmazgul35352;Ameliyathanelerdeki anestezi ilaçları tükendi Hastanelerde yiyecek yemek yok Bir kaç güne elektrik sağlayan jeneratörlerin yakıtı bitecek 1900'lü yıllardan bahsetmiyorum.  2024 yılının Gazze sinden bahsediyorum. Allah tez zamanda seni yok etsin İsr@il.. #GazzeStarving;https://x.com/yilmazgul35352/status/1750819813776081091;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Fri Jan 26 09:55:46 +0000 2024
1750447548219724201;ayaydin_y;Gazze’de ölüm !! Ya bombadan ya hastalıktan ya açlıktan ya da soğuktan… Yıkılacaksın İsrail… #GazzeStarving #FreePalestine;https://x.com/ayaydin_y/status/1750447548219724201;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Thu Jan 25 09:16:31 +0000 2024
1750624482358698214;SgrazX;Ma veramente pensate di poter fermare il vento? Non imparerete mai. E il #28gennaio cosa inventerete? E il 29? E a febbraio?... State commettendo un #genocidio e non passerà giorno senza che ve lo ricorderemo. #FreePalestine #IsraelEthnicCleansingGaza #IsrarelGuiltyOfGenocide;https://x.com/SgrazX/status/1750624482358698214;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Thu Jan 25 20:59:36 +0000 2024
1752161612360732795;HalaHanina;I have never imagined that body could cry as much, each night I enter unstoppable hours of crying and weeping for the loss and inability to help, I scream alone for hours then cuddle myself and try to close my eyes while thinking of the cold, fear, loss, grief, tiredness, loneliness of my beloved ppl in Gaza!  We are tired!;https://x.com/HalaHanina/status/1752161612360732795;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Tue Jan 30 02:47:36 +0000 2024
1747763398291386383;GazaMartyrs;HELLO, CAN YOU HEAR ME?  WE HAVE ENTERED DAY 104 OF THE GENOCIDE.  I FEEL THAT DEATH IS VERY CLOSE TO ME. IF I MARTYR, NO NEED FOR ANYONE TO MOURN. I AM CERTAIN THAT DEATH IS THE TRUE SALVATION FROM WHAT IS HAPPENING TO US💔;https://x.com/GazaMartyrs/status/1747763398291386383;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Wed Jan 17 23:30:40 +0000 2024
1750185658449342844;Mezzy_abducted;🍉From the river to the sea, Palestine will be free 🍉 . #StrikeForGaza #CeasefireNOW #FreePalestine #StrikeForPalestine #StopTheGenocide #StoptheGenocideNow #CeasefireNOW #FreeGaza https://t.co/3TvMWMcXnf;https://x.com/Mezzy_abducted/status/1750185658449342844;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Wed Jan 24 15:55:52 +0000 2024
1748024850994622656;The_Guduu;Acının ve kimsesizliğin ortasında Gazze ö*lüyor. https://t.co/Qk4wQENTgQ;https://x.com/The_Guduu/status/1748024850994622656;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Thu Jan 18 16:49:35 +0000 2024
1750053208737636571;KristalViolee;Filistin özgür olduğunda yeni bir vatan arayacaksın kendine katil yahudi, tarih boyunca sürüldün, o topraklardan da sürüleceksin, kıyamete kadar sürgün hayatı yaşayacaksın, ebedi yurdun ancak cehennem olacak #GazaStarving https://t.co/IRNEcGWf0t;https://x.com/KristalViolee/status/1750053208737636571;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Wed Jan 24 07:09:34 +0000 2024
1749844333409308928;KristalViolee;There is no water in Gaza,  There is no food in Gaza,  There is only death in Gaza #GazaStarving;https://x.com/KristalViolee/status/1749844333409308928;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Tue Jan 23 17:19:34 +0000 2024
1749768944808755292;UNOCHA;The death toll in #Gaza climbs relentlessly, inflicting indescribable pain with every passing day.  In Khan Younis, fighting escalates, destroying civilian areas and claiming lives. Attacks on health care continue to rise. This brutal conflict must end❗;https://x.com/UNOCHA/status/1749768944808755292;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Tue Jan 23 12:20:00 +0000 2024
1750256707257671950;ZazaYavuz_;Gazze, insan kalmanın sınandığı yerdir. Belki de son insanların yurdudur. İnsan kalmak için savaşanların şehri... İnsan olmak için onların acısını bir parça da olsun taşıyorum, insan kalmak ne zormuş meğer! #GazzeStarving 🇵🇸;https://x.com/ZazaYavuz_/status/1750256707257671950;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Wed Jan 24 20:38:11 +0000 2024
1747053622230438328;PalestineEmb;イスラエル軍の攻撃はガザ全域で一晩中続き、この24時間で少なくとも132人のパレスチナ人が死亡した。 #StopGenocideinGazaNow;https://x.com/PalestineEmb/status/1747053622230438328;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Tue Jan 16 00:30:16 +0000 2024
1749297681246404614;PalestineEmb;イスラエル軍は #ガザ で居住区全体を爆破し続けている。 #StoptheGenocideNow;https://x.com/PalestineEmb/status/1749297681246404614;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Mon Jan 22 05:07:22 +0000 2024
1749944435087974712;dikenlibirgul;Gazze'de soykırım var  Gazze'de savaş var  Gazze'de ölüm var  Gazze'de açlık var  Gazze'de soğuk var  Ve bunlar ölümün diğer adı! #GazaStarving https://t.co/1dW2r1uKBT;https://x.com/dikenlibirgul/status/1749944435087974712;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Tue Jan 23 23:57:20 +0000 2024
